Sample,Cluster,Host,Location,Collection Date,Phenotype,SPECIES
Sample01,-,Human,Essex,2024-01-13,A,Klebsiella pneumoniae
Sample02,-,Human,West Sussex,2024-01-01,A,Klebsiella pneumoniae
Sample03,-,Human,Greater Manchester,2024-03-01,A,Klebsiella pneumoniae
Sample04,-,Human,Lancashire,2024-03-07,B,Klebsiella pneumoniae
Sample05,-,Human,South Yorkshire,2024-03-25,A,Klebsiella pneumoniae
Sample06,-,Human,North Yorkshire,2024-02-06,B,Klebsiella pneumoniae
Sample07,-,Human,Devon,2024-03-19,B,Klebsiella pneumoniae
Sample08,-,Human,Lincolnshire,2024-01-07,A,Klebsiella pneumoniae
Sample09,-,Human,Hampshire,2024-01-19,A,Klebsiella pneumoniae
Sample10,1,Human,Greater London,2024-01-31,A,Klebsiella pneumoniae
Sample11,1,Human,West Midlands,2024-03-13,A,Klebsiella pneumoniae
Sample12,1,Human,Surrey,2024-01-25,A,Klebsiella pneumoniae
Sample13,1,Human,Greater London,2024-02-12,A,Klebsiella pneumoniae
Sample14,1,Human,Sussex,2024-03-31,A,Klebsiella pneumoniae
Sample15,1,Human,Kent,2024-02-24,A,Klebsiella pneumoniae
Sample16,1,Human,Surrey,2024-02-18,A,Klebsiella pneumoniae
Outgroup,-,Environmental,Cornwall,2023-12-31,A,Klebsiella pneumoniae
